"From","To","Count"
"Albania","Greece",1
"Albania","Italy",2
"Albania","Russia",1
"Albania","Switzerland",1
"Armenia","Cyprus",1
"Armenia","Estonia",1
"Armenia","Israel",1
"Armenia","Russia",1
"Austria","Czech Republic",1
"Austria","Finland",1
"Austria","Serbia",1
"Austria","Switzerland",1
"Austria","Ukraine",1
"Azerbaijan","Israel",3
"Azerbaijan","Russia",1
"Azerbaijan","Ukraine",1
"Belarus","Russia",1
"Belarus","Ukraine",1
"Belgium","Finland",1
"Belgium","France",1
"Belgium","Netherlands",2
"Belgium","Ukraine",1
"Bulgaria","Cyprus",1
"Bulgaria","Italy",1
"Bulgaria","Ukraine",1
"Croatia","Italy",1
"Croatia","Serbia",3
"Croatia","Slovenia",1
"Cyprus","Bulgaria",1
"Cyprus","Greece",2
"Cyprus","Israel",1
"Cyprus","Ukraine",1
"Czech Republic","Moldova",1
"Czech Republic","Russia",1
"Czech Republic","Ukraine",3
"Denmark","Finland",1
"Denmark","Germany",1
"Denmark","Iceland",1
"Denmark","Norway",1
"Denmark","Ukraine",1
"Estonia","Finland",2
"Estonia","Lithuania",1
"Estonia","Russia",1
"Estonia","Ukraine",1
"F.Y.R. Macedonia/North Macedonia","Albania",2
"F.Y.R. Macedonia/North Macedonia","Serbia",2
"Finland","Estonia",1
"Finland","Iceland",2
"Finland","Norway",1
"Finland","Ukraine",1
"France","Armenia",1
"France","Israel",2
"France","Ukraine",2
"Georgia","Armenia",1
"Georgia","Cyprus",1
"Georgia","Greece",1
"Georgia","Israel",1
"Georgia","Ukraine",1
"Germany","Finland",1
"Germany","Italy",1
"Germany","Lithuania",1
"Germany","Norway",1
"Germany","Ukraine",1
"Greece","Cyprus",4
"Greece","Spain",1
"Hungary","Denmark",1
"Hungary","Iceland",1
"Iceland","Denmark",1
"Iceland","Finland",2
"Iceland","Norway",1
"Iceland","Ukraine",1
"Ireland","Finland",1
"Ireland","Lithuania",2
"Ireland","Norway",1
"Ireland","Ukraine",1
"Israel","Czech Republic",1
"Israel","Finland",1
"Israel","Russia",1
"Israel","Ukraine",2
"Italy","Albania",2
"Italy","Moldova",1
"Italy","Ukraine",2
"Latvia","Finland",1
"Latvia","Lithuania",2
"Latvia","Russia",1
"Latvia","Ukraine",1
"Lithuania","Estonia",1
"Lithuania","Finland",1
"Lithuania","Russia",1
"Lithuania","Ukraine",2
"Malta","Italy",4
"Malta","United Kingdom",1
"Moldova","Israel",1
"Moldova","Russia",2
"Moldova","Ukraine",2
"Montenegro","Serbia",3
"Netherlands","Finland",1
"Netherlands","France",1
"Netherlands","Germany",1
"Netherlands","Norway",1
"Netherlands","Ukraine",1
"Norway","Finland",1
"Norway","Lithuania",2
"Norway","Sweden",1
"Norway","Ukraine",1
"Poland","Iceland",1
"Poland","Ukraine",4
"Portugal","France",1
"Portugal","Spain",2
"Portugal","Ukraine",2
"Romania","Moldova",4
"Romania","Netherlands",1
"Russia","Azerbaijan",1
"Russia","Cyprus",1
"Russia","Moldova",1
"San Marino","Finland",1
"San Marino","Israel",1
"San Marino","Italy",1
"San Marino","Russia",1
"San Marino","Ukraine",1
"Serbia","F.Y.R. Macedonia/North Macedonia",1
"Serbia","Finland",1
"Serbia","Hungary",1
"Serbia","Italy",1
"Serbia","Moldova",1
"Slovenia","Croatia",1
"Slovenia","F.Y.R. Macedonia/North Macedonia",1
"Slovenia","Serbia",3
"Spain","Finland",1
"Spain","France",1
"Spain","Israel",1
"Spain","Italy",1
"Spain","Ukraine",1
"Sweden","Denmark",1
"Sweden","Finland",2
"Sweden","Norway",1
"Sweden","Ukraine",1
"Switzerland","Albania",1
"Switzerland","Italy",1
"Switzerland","Serbia",3
"Ukraine","Israel",1
"Ukraine","Italy",1
"Ukraine","Poland",2
"United Kingdom","Finland",1
"United Kingdom","Lithuania",2
"United Kingdom","Norway",1
"United Kingdom","Ukraine",1
